"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Adjustments","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2004-01","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","27935993","A","","","0"
"2004-02","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","28719948","A","","","0"
"2004-03","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","28689514","A","","","0"
"2004-04","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","28254086","A","","","0"
"2004-05","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","28554094","A","","","0"
"2004-06","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","28550528","A","","","0"
"2004-07","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","28616168","A","","","0"
"2004-08","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","28836665","A","","","0"
"2004-09","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","29243662","A","","","0"
"2004-10","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","29561177","A","","","0"
"2004-11","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","29901036","A","","","0"
"2004-12","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","29593609","A","","","0"
"2005-01","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","29888781","A","","","0"
"2005-02","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","30460620","A","","","0"
"2005-03","Canada","2016A000011124","Retail trade [44-45]","Seasonally adjusted","Dollars","81","thousands","3","v52367097","1.1.2","30006264","A","","","0"
